,SI,MS,NDB,ACB,LSr.m.v,LSr.m.d,LSr.vl,LSr.dl,LSc.v,LSc.d,SF,FS,CP,TTv,TTd,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,AIv,AId,ORBv,ORBm,PTLp,PERI,ECT,VISp,VISpm,AVP,MPO,AHNc,MM,LM,SUMl,LHAa,LHAjvv,LHAjvd,LHAjp,LHAjd,LHAsfp,LHAs,ZI,REr,REc,PT,AV,AD,IAM,VTA
ORBm,0.46812532915073773,0.20586256702474595,0.2903486276554365,0.8620574722080124,0.49356905044014165,0.6535779086592037,0.9044537413329964,0.8116866164575393,-0.25563556887285527,0.20591319079399753,0.17454051621008881,0.8430562268632457,0.6447621974611619,0.7240200486516579,0.8941541873009824,0.535643157916064,-0.17772037879213906,0.25697375791399885,0.6943520062295714,0.7909497098199824,0.3484349358505276,0.6084849345051166,0.23432014753124525,0.2686157147988979,0.41366507371521766,0.31037267094201837,0.6014868821051783,0.6014868821051783,0.6824001677357668,1.0,-0.25884144293425637,0.6048705801884869,0.23487569145682544,-0.35430768338272617,-0.35416515071810295,0.8187274500607025,0.8187274500607025,0.6901679860147648,0.8247621221537365,-0.4154092925664065,0.8453329153910614,0.7718927553490097,0.6132846549348296,0.7176921593229946,0.9192038623254777,0.9540470169514726,0.7356255172368736,0.8693756112799416,0.7718927553490097,0.6536047667376083,0.47742794521896487,0.8693756112799416,-0.13716301318902152,-0.4449767278253089,0.6559827036542503,0.964485644340824
PTLp,0.13533299049019168,0.1785419101930846,0.12156613477096613,0.019065785593519922,-0.021713491635397375,-0.3450327796711772,-0.2097236415287196,-0.10635445160305,-0.08421519210665192,-0.21343182831111585,0.012179734920697773,-0.01983799002145386,0.16539535392599136,0.0935219529582824,0.013017787942456215,0.18234920215644917,0.6026522383037978,0.43124434601706496,0.14383312102360452,0.12156613477096614,0.32676160123280207,0.24939187455541978,0.16191735072072874,0.4608692902798833,0.17757120130114434,0.18234920215644926,0.26318067798390754,0.26318067798390754,0.04761904761904761,-0.25884144293425637,1.0,0.03991493876604044,0.4158969188396964,0.40526179615255725,0.34916796939931516,-0.11834526708278774,-0.11834526708278774,0.16539535392599145,-0.17118419700436519,0.5779476312420072,-0.0657951694959769,0.04279604925109134,0.25677629550654774,0.14836055067560408,-0.1583118967153259,-0.24995356525898393,0.1353329904901917,-0.1353329904901917,0.04279604925109134,0.30523384783367985,0.18746317306601412,-0.1353329904901917,0.5088831022651474,0.34916796939931516,-0.14547859349066158,-0.16265001215808889
PERI,0.2646885933936158,0.7039387875264629,0.6680006309644103,0.7084999976418715,0.1638049182255016,0.5784224154597744,0.6499022534760022,0.27404681743305936,-0.07059032895825429,0.5310250443005136,0.07827069314094762,0.703938787526463,0.29267738047036346,0.4703483012269057,0.7019852858083899,0.43589871681575926,0.04345388137388211,0.07796517989202167,0.7388341488480474,0.7812210768905816,0.5141557531011144,0.5574498384911474,0.2972943724021598,0.08914775988786268,0.2551587705557073,0.5774242742234733,0.7721057874907525,0.7721057874907525,0.17296473465284207,0.6048705801884869,0.03991493876604044,1.0,0.5857605017103473,-0.18291322825490777,-0.16944479921968414,0.42986071208627613,0.42986071208627613,0.5494119247426121,0.8728910611810239,-0.2128615952333445,0.5882710761834306,0.5141687072710142,0.6337428252410174,0.6043355079473308,0.6192629470061397,0.6333599442867869,0.6428151553844955,0.7940657801808474,0.5141687072710142,0.5685582161281982,0.1974250237168799,0.7940657801808474,0.13572134392272514,-0.32348552578303336,0.9450516793170234,0.49989672622011083
ECT,-0.024121960183814004,0.32177179810991663,0.2672403275429079,0.3024500280174372,-0.1122371373359937,0.14349806996393832,0.17331406099875615,-0.02316939885678736,-0.19942714403561737,0.18296591056058217,-0.17584570812428615,0.3217717981099167,0.0032755913375342753,0.1500254694484227,0.276116952664182,0.0938952502177785,-0.07276680262521168,-0.009043018223976641,0.25045412592274985,0.33946744309504523,0.18698904658688847,0.20559045813302362,0.7957223855135175,0.570809735471762,0.804828621933923,0.906450300179323,0.3635503955594072,0.3635503955594072,-0.09336461443340123,0.23487569145682544,0.4158969188396964,0.5857605017103473,1.0,0.4834154015560287,0.39634655184165374,0.147658295816977,0.147658295816977,0.19981107158959402,0.4881941491759751,0.3184077556700478,0.24627607441121133,0.18307280594099065,0.25935314174973684,0.2379961127700426,0.14108877869908343,0.3364452260701719,0.2653415620219539,0.4100733231248378,0.18307280594099065,0.27202675037059754,0.17220919308667781,0.4100733231248378,0.23912900704551304,0.2980788117156239,0.576949799175107,0.14495494051240349
VISp,-0.17719247798458349,-0.16883116883116886,-0.2254871963578487,-0.24338898721271773,-0.25586670605399725,-0.48940011407367773,-0.44309277159238347,-0.28623747656762344,-0.20477520009884648,-0.35263658485898547,-0.2551522615707189,-0.2337662337662338,-0.15639964248378213,-0.17346938775510204,-0.2727085651528656,0.02652790545386452,0.26089787900974765,0.058123819371909656,-0.11589031464306145,-0.2254871963578487,-0.09006976071304007,-0.12244897959183679,0.39371349828807656,0.24755673649091758,0.4317769439056145,0.32496684180984076,-0.12921914767618442,-0.12921914767618442,-0.2182178902359924,-0.35430768338272617,0.40526179615255725,-0.18291322825490777,0.4834154015560287,1.0,0.9865208218207793,-0.23242549051998873,-0.23242549051998873,-0.15639964248378208,-0.2661576119732497,0.6621221919717306,-0.2369017707396714,-0.19611613513818402,-0.12607465830311831,-0.16869040578449238,-0.3109183929042907,-0.2651983411433438,-0.17719247798458349,-0.26578871697687523,-0.19611613513818402,-0.1665187157571989,0.13216372009101798,-0.26578871697687523,0.05299989400031796,0.9263671131731708,-0.22619047619047616,-0.3194382824999699
VISpm,-0.15668413501991652,-0.14546260454785329,-0.20329879151257144,-0.22809538042581817,-0.24301201956771237,-0.4882383378503652,-0.4341170143588152,-0.2781910086754715,-0.19964615489675896,-0.34908403529448545,-0.23972211658409529,-0.22202187009935503,-0.13475177304964536,-0.15639964248378208,-0.2562167156450511,0.0860110271783956,0.33010936684465203,0.07831853783004332,-0.055508436568617696,-0.20329879151257144,-0.05973378233640958,-0.09624593383617364,0.29458415282135186,0.14137575850720685,0.32306396854892855,0.2423947129572967,-0.10156734322380508,-0.10156734322380508,-0.2021498770206561,-0.35416515071810295,0.34916796939931516,-0.16944479921968414,0.39634655184165374,0.9865208218207793,1.0,-0.22836050223727597,-0.22836050223727597,-0.13475177304964536,-0.26425532793402035,0.6387140179060972,-0.2285265222535615,-0.18167553795463892,-0.09909574797525761,-0.14765936851162725,-0.27493254797322636,-0.2694303081349243,-0.15668413501991657,-0.2611402250331943,-0.18167553795463892,-0.15706214313266925,0.15025760653943043,-0.2611402250331943,0.02678037752921377,0.9290780141843972,-0.2245738456177384,-0.313851490481129
AVP,0.7399400733959437,0.1479071303309019,0.10070743681384509,0.9002818497951064,0.8094520245706585,0.2286647801900118,0.7581320840379843,0.9104268259160609,-0.14949704103435,-0.025258646725446712,0.21188785538156849,0.9367451587623788,0.7764257076067383,0.9297019620799549,0.8088116352104685,0.7553057761038383,2.1455838426404026e-17,0.0630441337325862,0.5224435138486826,0.7049520576969157,0.12822386342782138,0.774751635066629,-0.11497291269829236,0.20558025101330407,0.378264802395517,-5.590385755085697e-18,0.6540699401677286,0.6540699401677286,0.5917263354139387,0.8187274500607025,-0.11834526708278774,0.42986071208627613,0.147658295816977,-0.23242549051998873,-0.22836050223727597,1.0,1.0,0.8677699085016486,0.7445123521701549,-0.32644197780981743,0.9811049102515929,0.9572301670759134,0.7445123521701549,0.8732679841878878,0.7082005278281703,0.6640384398863457,0.874474632195206,0.8744746321952062,0.9572301670759134,0.8091547798786777,0.46589296497837035,0.8744746321952062,-0.17245936904743847,-0.31970470313218635,0.45193845378886705,0.8892972917998875
MPO,0.7399400733959437,0.1479071303309019,0.10070743681384509,0.9002818497951064,0.8094520245706585,0.2286647801900118,0.7581320840379843,0.9104268259160609,-0.14949704103435,-0.025258646725446712,0.21188785538156849,0.9367451587623788,0.7764257076067383,0.9297019620799549,0.8088116352104685,0.7553057761038383,2.1455838426404026e-17,0.0630441337325862,0.5224435138486826,0.7049520576969157,0.12822386342782138,0.774751635066629,-0.11497291269829236,0.20558025101330407,0.378264802395517,-5.590385755085697e-18,0.6540699401677286,0.6540699401677286,0.5917263354139387,0.8187274500607025,-0.11834526708278774,0.42986071208627613,0.147658295816977,-0.23242549051998873,-0.22836050223727597,1.0,1.0,0.8677699085016486,0.7445123521701549,-0.32644197780981743,0.9811049102515929,0.9572301670759134,0.7445123521701549,0.8732679841878878,0.7082005278281703,0.6640384398863457,0.874474632195206,0.8744746321952062,0.9572301670759134,0.8091547798786777,0.46589296497837035,0.8744746321952062,-0.17245936904743847,-0.31970470313218635,0.45193845378886705,0.8892972917998875
AHNc,0.8878767651128605,0.46701151986416045,0.4222359516030329,0.9491710991913079,0.8463522060806533,0.26631182064565373,0.7799390427463461,0.8619360760600676,-0.013928801504425069,0.08236814315937296,0.41833859560753883,0.9263671131731709,0.9290780141843972,0.9865208218207795,0.8992704333424343,0.9461212989623519,0.2550845107435948,0.3230639685489286,0.7557687132804105,0.8913870089397363,0.5376040410276863,0.9865208218207793,-0.1963894352142345,0.004560508338942178,0.1762167101175974,-0.03127673715578019,0.9141060890142461,0.9141060890142461,0.7167132003459626,0.6901679860147648,0.16539535392599145,0.5494119247426121,0.19981107158959402,-0.15639964248378208,-0.13475177304964536,0.8677699085016486,0.8677699085016486,1.0,0.6441223618391746,-0.37511775654802526,0.914106089014246,0.9744415217567001,0.9744415217567001,0.9974541015785435,0.7331534612619369,0.49561871496424337,0.992332855126138,0.7834206750995828,0.9744415217567001,0.7853107156633461,0.26155953730937886,0.7834206750995828,-0.24102339776292417,-0.34751773049645385,0.40704009518215084,0.8160138752509353
MM,0.3648781915578899,0.42788974939240154,0.38238744638284566,0.8310351948075411,0.37077141131920827,0.5168113941217019,0.7539288365264292,0.541634491516355,-0.18380795296340582,0.3562275224099659,0.010946135246159804,0.8736082383428199,0.3963829919010305,0.6443815868826046,0.7721543129809115,0.4825365394831148,-0.11356419064487445,-0.06839411288813295,0.6264394142509798,0.7465659667474605,0.21638563370731523,0.5743401100475389,0.24945922497781903,0.2548868195371082,0.44456173377286434,0.4825365394831146,0.6800092553874449,0.6800092553874449,0.2567762955065478,0.8247621221537365,-0.17118419700436519,0.8728910611810239,0.4881941491759751,-0.2661576119732497,-0.26425532793402035,0.7445123521701549,0.7445123521701549,0.6441223618391746,1.0,-0.24790088644118993,0.8278373543847156,0.7115384615384616,0.6153846153846155,0.6947411187642788,0.7113879915305903,0.8210888913380202,0.7297563831157798,0.9730085108210397,0.7115384615384616,0.731516955959455,0.42767072683063084,0.9730085108210397,0.09354720936668218,-0.34683511791340166,0.9315516419063742,0.7308816827558576
