Abbr.,MS,NDB,LSr.m.v,LSr.m.d,MEAad,MEApv,COApm,COApl,TR,ENTm,ENTl,ILA,ACAv,ACAd,RSPv.a,RSPv.b/c,RSPd,RSPagl,ORBv,ORBm,PERI,ECT,VISp,VISpm,BMAp,BLAa,BLAp,LA,PA,EPv,EPd,CLA,DMHa,DMHp,DMHv,PH,AHNc,AHNp,TM,SUMm,SUMl,RCH,LHAa,LHAjvv,LHAsfa,REr,REc,PVT,PT,AV,AD,AMd,IAM,LD,PR,RH,VM,LP,RL,IF,CS,DR,SNc,VTA,RR,NI,LC
EPd,0.7741372171457785,-0.0270512050694951,0.6780887905509606,-0.10793968058566819,0.7018422673140027,0.769182076449545,0.6313340396745255,0.5944223218007464,0.36197668380742426,-0.008744060805343581,0.15713693452045396,0.49462178160654435,0.010210756580403952,0.048817508942069016,0.33228640072543614,0.039386547840118566,0.13622658955764602,0.1568961091225606,0.07066511324277536,0.0428712287537351,-0.38466113532834245,0.0653305791434751,0.11170472146966498,0.07066511324277536,0.6572620884205802,0.4318001632071179,0.48524096226311036,0.5667459883835899,0.6614175465558987,0.7342258585955815,1.0,0.14411208242383194,0.7343341216105874,0.7343341216105874,0.7343341216105874,0.010692191687140223,0.6780887905509606,0.45357618754516893,0.7191114198041539,0.1285770210376399,0.2441979506481106,0.6780887905509606,0.6780887905509606,0.5944223218007463,0.4193965580007697,0.32780836265202185,0.24462104836398557,0.6781672435184161,0.5264684596166274,0.22314757940614546,-0.1630595056566585,-0.21253543382369772,-0.314299621238549,-0.02240031342023973,0.30334342837415046,0.01788995638906131,-0.024680288712249705,-0.06849117942988667,0.4387564980065029,0.37275883374692775,0.08784721239490112,-0.09283928659559956,0.4471427380624934,0.4136887861140831,0.5236540755761191,0.8107736503168017,0.016886818184897782
CLA,-0.0863492105078648,0.3687643863723463,-0.3144854510165755,-0.3922322702763681,0.04895104895104897,0.04717395037393918,-0.21703120128414652,-0.360288346061446,-0.4064791596590674,0.04973362668148416,-0.14487821238473486,0.5498087141233903,0.9313782164532707,0.9619661073288409,0.8366515794434707,0.9745238008516784,0.9202525845694913,0.9776924080893604,0.9799823676640085,0.954910809600998,-0.012254286475812455,0.6909040601635511,0.9771111735390547,0.9799823676640085,0.0579184939058293,0.11152782211062061,-0.0888936532046779,-0.22362833791147932,-0.3577824312671477,0.16683437997655523,0.14411208242383194,1.0,-0.3922322702763681,-0.3922322702763681,-0.3922322702763681,-0.29792179586210904,-0.3144854510165755,-0.3922322702763681,-0.21816407904572166,-0.37363235887853663,-0.3833177466119848,-0.3144854510165755,-0.3144854510165755,-0.360288346061446,-0.3580574370197165,0.34492399271664814,0.22566353299998682,-0.25318484177091666,-0.23204121837554242,0.7032072612308921,0.7484763194802808,0.23007406417492499,0.49899749218560613,0.8717485827950288,-0.03843830888876454,0.6480860404820927,-0.21062661090817658,0.7923844913631617,-0.4558115821459609,-0.45828585961935675,0.3235471464014752,0.12060453783110545,-0.3857271381445886,-0.6150807084867244,-0.465250427881595,0.16838260743634753,-0.05093793571856439
DMHa,0.67838009074738,-0.14449346376717864,0.8178441452490647,0.25000000000000006,0.5031037737585299,0.4762082727446971,0.6343827763546963,0.6951949577633567,0.6096454859664482,-0.004289894744489611,0.5328425328695771,-0.0039302705861810824,-0.39346729694025123,-0.3980014728789243,-0.19303242535341752,-0.4309287510451888,-0.37263583176465875,-0.3790876982878728,-0.40089186286863654,-0.3962409878031612,-0.3151392340330683,-0.28821568423570487,-0.38969154998823285,-0.40089186286863654,0.483135987604087,0.21830347107382145,0.45496117146601217,0.5918723184030888,0.7583180652798485,0.4010667496820588,0.7343341216105874,-0.3922322702763681,1.0,1.0,1.0,0.31488863132818745,0.8178441452490647,0.6250000000000001,0.751181688493198,0.5475714109122585,0.6266618692025901,0.8178441452490647,0.8178441452490647,0.6951949577633567,0.645417701092252,-0.009316073755825577,-0.03709140292709134,0.5693079659041985,0.4811178232024028,-0.27857686674768,-0.5287263465753993,-0.3656931151950066,-0.48402711511165375,-0.36057783570786583,0.12166606584807195,-0.4249924500425205,-0.0667452389598007,-0.3499271061118826,0.8392918742047649,0.7639651329768837,0.12009611535381534,-0.02934942221630278,0.6686009319395332,0.8385821660022601,0.6852474794154728,0.7573582062208571,0.29612886340407435
DMHp,0.67838009074738,-0.14449346376717864,0.8178441452490647,0.25000000000000006,0.5031037737585299,0.4762082727446971,0.6343827763546963,0.6951949577633567,0.6096454859664482,-0.004289894744489611,0.5328425328695771,-0.0039302705861810824,-0.39346729694025123,-0.3980014728789243,-0.19303242535341752,-0.4309287510451888,-0.37263583176465875,-0.3790876982878728,-0.40089186286863654,-0.3962409878031612,-0.3151392340330683,-0.28821568423570487,-0.38969154998823285,-0.40089186286863654,0.483135987604087,0.21830347107382145,0.45496117146601217,0.5918723184030888,0.7583180652798485,0.4010667496820588,0.7343341216105874,-0.3922322702763681,1.0,1.0,1.0,0.31488863132818745,0.8178441452490647,0.6250000000000001,0.751181688493198,0.5475714109122585,0.6266618692025901,0.8178441452490647,0.8178441452490647,0.6951949577633567,0.645417701092252,-0.009316073755825577,-0.03709140292709134,0.5693079659041985,0.4811178232024028,-0.27857686674768,-0.5287263465753993,-0.3656931151950066,-0.48402711511165375,-0.36057783570786583,0.12166606584807195,-0.4249924500425205,-0.0667452389598007,-0.3499271061118826,0.8392918742047649,0.7639651329768837,0.12009611535381534,-0.02934942221630278,0.6686009319395332,0.8385821660022601,0.6852474794154728,0.7573582062208571,0.29612886340407435
DMHv,0.67838009074738,-0.14449346376717864,0.8178441452490647,0.25000000000000006,0.5031037737585299,0.4762082727446971,0.6343827763546963,0.6951949577633567,0.6096454859664482,-0.004289894744489611,0.5328425328695771,-0.0039302705861810824,-0.39346729694025123,-0.3980014728789243,-0.19303242535341752,-0.4309287510451888,-0.37263583176465875,-0.3790876982878728,-0.40089186286863654,-0.3962409878031612,-0.3151392340330683,-0.28821568423570487,-0.38969154998823285,-0.40089186286863654,0.483135987604087,0.21830347107382145,0.45496117146601217,0.5918723184030888,0.7583180652798485,0.4010667496820588,0.7343341216105874,-0.3922322702763681,1.0,1.0,1.0,0.31488863132818745,0.8178441452490647,0.6250000000000001,0.751181688493198,0.5475714109122585,0.6266618692025901,0.8178441452490647,0.8178441452490647,0.6951949577633567,0.645417701092252,-0.009316073755825577,-0.03709140292709134,0.5693079659041985,0.4811178232024028,-0.27857686674768,-0.5287263465753993,-0.3656931151950066,-0.48402711511165375,-0.36057783570786583,0.12166606584807195,-0.4249924500425205,-0.0667452389598007,-0.3499271061118826,0.8392918742047649,0.7639651329768837,0.12009611535381534,-0.02934942221630278,0.6686009319395332,0.8385821660022601,0.6852474794154728,0.7573582062208571,0.29612886340407435
PH,0.28468593185425056,-0.11853428263150136,-0.05338722043517493,0.7779992273178957,-0.29792179586210904,-0.2804840970025371,-0.19809003969599848,0.07905694150420954,-0.21950552950639302,0.19289973485447853,0.48449388809132343,-0.42072614550380577,-0.2988598659535434,-0.3023038198063267,-0.36771775338409507,-0.32731388294374464,-0.3958086106105093,-0.28793777672494825,-0.3044992286029313,-0.30096663540028523,-0.41687678602781153,-0.4516697391571182,-0.295991980269702,-0.3044992286029313,-0.03989288825148242,0.04232960745587465,-0.14082107947129827,-0.14810079012663768,0.05369634763490844,-0.2958222503513531,0.010692191687140223,-0.29792179586210904,0.31488863132818745,0.31488863132818745,0.31488863132818745,1.0,-0.05338722043517491,0.31488863132818745,-0.028555601904251417,0.9029798941187246,0.796421617415414,-0.05338722043517491,-0.05338722043517491,0.0790569415042095,0.1638286427804605,-0.5600731522764347,-0.6598331891878058,-0.24514516892272997,-0.36332880794920297,-0.5625358771566522,-0.5184996738327865,-0.4416064439682459,-0.5200314339611523,-0.39964442666927685,-0.5604024165600576,-0.5901956577006054,-0.3617679758851914,-0.2657887169768753,0.309764154441989,0.26917893769384305,0.22872713901050054,0.5370957860444865,-0.1129218460152796,0.3369743051678282,-0.1547621771592378,0.04470338045313573,0.749878113438808
AHNc,0.4129869271286951,-0.19708699756379539,1.0,0.00535347317059718,0.6563654129938624,0.620894089394481,0.8303222588169343,0.8828714030017963,0.8061287093382306,-0.321182018995811,0.16441024877944121,0.15140844973794843,-0.31547567529652865,-0.31911110377378615,-0.0727734406694616,-0.34551165954032126,-0.2570031751380934,-0.3039463471144179,-0.3214285714285714,-0.31769957549063593,-0.18698507295475947,-0.14508624603732534,-0.3124483428378982,-0.3214285714285714,0.6809897074163299,0.416976226103472,0.7064918429601315,0.8444199761233098,0.9504148388353612,0.5449616428844057,0.6780887905509606,-0.3144854510165755,0.8178441452490647,0.8178441452490647,0.8178441452490647,-0.05338722043517491,1.0,0.8178441452490647,0.7356363541827373,0.28375953303080964,0.24616481115905672,1.0,1.0,0.8828714030017963,0.8281554358288256,0.23430370206762152,0.20174490639858914,0.7090818889274841,0.6560747288412261,-0.0942825546002266,-0.38085122760781803,-0.2326421290370078,-0.33194183648371134,-0.24253006191376086,0.3376743025058612,-0.24251128633089228,0.061879252716210885,-0.2805658588748473,0.6324105760742882,0.5740456247795828,-0.12178017226095592,-0.06160134506102851,0.8628349320153673,0.6574274257035468,0.7352337305927863,0.620632800157505,-0.05278022703380829
AHNp,0.2788646822020373,-0.36247675232429055,0.8178441452490647,0.25000000000000006,0.5031037737585299,0.4762082727446971,0.71057813662605,0.9260898146703972,0.6096454859664482,-0.33567331978112686,0.09534178044273123,-0.0039302705861810824,-0.39346729694025123,-0.3980014728789243,-0.19303242535341752,-0.4309287510451888,-0.37263583176465875,-0.3790876982878728,-0.40089186286863654,-0.3962409878031612,-0.3151392340330683,-0.28821568423570487,-0.38969154998823285,-0.40089186286863654,0.6921534825147077,0.563705282215256,0.5989862603240691,0.7389402018256078,0.9202384606055569,0.4010667496820588,0.45357618754516893,-0.3922322702763681,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.31488863132818745,0.8178441452490647,1.0,0.6031917114192732,0.5475714109122585,0.3778806570380854,0.8178441452490647,0.8178441452490647,0.9260898146703972,0.9208809925122248,0.07756393652593285,-0.037091402927091274,0.5693079659041985,0.4811178232024028,-0.27857686674768,-0.5287263465753993,-0.3656931151950066,-0.48402711511165375,-0.36057783570786583,0.12166606584807195,-0.4249924500425205,-0.0667452389598007,-0.3499271061118826,0.4334804707259852,0.3787744849118638,-0.2975004132901894,0.31219213469092183,0.6686009319395332,0.5140503060513941,0.5254565129111748,0.31319832258960106,0.11002079905251938
TM,0.6179442964242674,-0.18250451153970837,0.7356363541827373,-0.13675817395035061,0.838396109246385,0.7926963445568918,0.8828775927720124,0.8328328622565776,0.7057400673878946,0.1412642327597139,0.30588187782632265,0.3331440514953289,-0.2189107771491314,-0.22165555523813146,0.06969625453985578,-0.24174645753271445,-0.12221453781575929,-0.21024169064287307,-0.22340805139606307,-0.2205892040395644,-0.03870264630613775,0.018475024656665992,-0.21662921277442923,-0.22340805139606307,0.6674717488895549,0.44297922959771446,0.4839468340755755,0.7034649307142522,0.7956724130461029,0.7163163535858583,0.7191114198041539,-0.21816407904572166,0.751181688493198,0.751181688493198,0.751181688493198,-0.028555601904251417,0.7356363541827373,0.6031917114192732,1.0,0.13390441300689837,0.316094747348542,0.7356363541827375,0.7356363541827375,0.8328328622565775,0.7195916054903447,0.5041319338559662,0.46587968745994535,0.8737629111802799,0.8640340358796262,0.10899240629642287,-0.21992616178673047,-0.08075449056669359,-0.16564750379595766,-0.10512680683089284,0.5845863063391208,-0.0462587333044136,0.21465761312338694,-0.1928307158644977,0.5464309007434955,0.4996011163320894,-0.25889617415907085,-0.022343383774637293,0.5944334452101727,0.6047847529978727,0.8571465807853393,0.6108999164332312,-0.04182694268565815
SUMm,0.2866586509752876,-0.18027492199712994,0.28375953303080964,0.7523436275362783,-0.1291237369229965,-0.19782658257970784,0.056451636613193815,0.31905870289605437,0.12223600975569014,0.013487337428577412,0.6100928592717175,-0.3775006092114117,-0.37480881976835434,-0.3791279821114808,-0.4611654921078886,-0.41049382716049376,-0.4963950503147785,-0.36111111111111116,-0.3818813079129866,-0.37745098039215674,-0.4590155346288632,-0.5246274193874194,-0.37121212121212116,-0.3818813079129866,0.14942335314425878,0.1396086435237769,0.1318727228711311,0.14580002811543014,0.3171667602580777,-0.20908210273070343,0.1285770210376399,-0.37363235887853663,0.5475714109122585,0.5475714109122585,0.5475714109122585,0.9029798941187246,0.28375953303080964,0.5475714109122585,0.13390441300689837,1.0,0.8719671142249914,0.28375953303080964,0.28375953303080964,0.31905870289605437,0.4678077223832585,-0.5046234051082921,-0.6006194601312732,-0.14501231147746926,-0.19368754306492564,-0.6634629729557382,-0.6082590722487589,-0.49494656278118265,-0.542673983113432,-0.4107949655268719,-0.5073594731850504,-0.7017560283206417,-0.4537037037037036,-0.3333333333333333,0.5543034672826234,0.49500087816770577,0.2305470455254886,0.509837854957699,0.2228185591069179,0.5519420846529705,0.04571289813708702,0.240606392941232,0.741607022959116
SUMl,0.5035163020003461,-0.0775982021709135,0.24616481115905672,0.7510524752848425,0.011413551887711884,-0.0808435957624983,0.18097215583989432,0.2754694231348298,0.27221614768877733,0.3442845507951935,0.8455533807851388,-0.22851398161588793,-0.4439511884856858,-0.4320243199660519,-0.5007342222056632,-0.4508585522690947,-0.5329860491233651,-0.36273729251417897,-0.4256422502612792,-0.4326549056429668,-0.2907444396082271,-0.5458089021408609,-0.39476741571710505,-0.4256422502612792,0.13801311186847084,0.0905288396793738,0.13563461539732746,0.20564130991392876,0.25602864647302703,-0.08648624639829394,0.2441979506481106,-0.3833177466119848,0.6266618692025901,0.6266618692025901,0.6266618692025901,0.796421617415414,0.24616481115905672,0.3778806570380854,0.316094747348542,0.8719671142249914,1.0,0.24616481115905672,0.24616481115905672,0.2754694231348297,0.3957545863667651,-0.29832660423521795,-0.32067939276007995,-0.0029551817208859563,0.04614172843784199,-0.5884488691602948,-0.5152078414165817,-0.2180678586338913,-0.3830545561077292,-0.38915145007481344,-0.24950868147911065,-0.592766103304833,-0.28194190318933043,-0.4292501608714032,0.7476858722204726,0.7172845883134443,0.34086043877033273,0.47056100200939255,0.3027062856240106,0.7395153734965845,0.301453187524031,0.3242372847841357,0.8206685127063399
